"","Store","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Week"
0,1.0,1643690.9,0.0,42.31,2.572,211.0963582,8.106,5.0
1,1.0,1641957.44,1.0,38.51,2.548,211.2421698,8.106,6.0
2,1.0,1611968.17,0.0,39.93,2.514,211.2891429,8.106,7.0
3,1.0,1409727.59,0.0,46.63,2.561,211.3196429,8.106,8.0
4,1.0,1554806.68,0.0,46.5,2.625,211.3501429,8.106,9.0
5,1.0,1439541.59,0.0,57.79,2.667,211.3806429,8.106,10.0
6,1.0,1472515.79,0.0,54.58,2.72,211.215635,8.106,11.0
7,1.0,1404429.92,0.0,51.45,2.732,211.0180424,8.106,12.0
8,1.0,1594968.28,0.0,62.27,2.719,210.8204499,7.808,13.0
9,1.0,1545418.53,0.0,65.86,2.77,210.6228574,7.808,14.0
10,1.0,1466058.28,0.0,66.32,2.808,210.4887,7.808,15.0
11,1.0,1391256.12,0.0,64.84,2.795,210.4391228,7.808,16.0
12,1.0,1425100.71,0.0,67.41,2.78,210.3895456,7.808,17.0
13,1.0,1603955.12,0.0,72.55,2.835,210.3399684,7.808,18.0
14,1.0,1494251.5,0.0,74.78,2.854,210.3374261,7.808,19.0
15,1.0,1399662.07,0.0,76.44,2.826,210.6170934,7.808,20.0
16,1.0,1432069.95,0.0,80.44,2.759,210.8967606,7.808,21.0
17,1.0,1615524.71,0.0,80.69,2.705,211.1764278,7.808,22.0
18,1.0,1542561.09,0.0,80.43,2.668,211.4560951,7.808,23.0
19,1.0,1503284.06,0.0,84.11,2.637,211.4537719,7.808,24.0
20,1.0,1422711.6,0.0,84.34,2.653,211.3386526,7.808,25.0
21,1.0,1492418.14,0.0,80.91,2.669,211.2235333,7.787,26.0
22,1.0,1546074.18,0.0,80.48,2.642,211.108414,7.787,27.0
23,1.0,1448938.92,0.0,83.15,2.623,211.1003854,7.787,28.0
24,1.0,1385065.2,0.0,83.36,2.608,211.2351443,7.787,29.0
25,1.0,1371986.6,0.0,81.84,2.64,211.3699032,7.787,30.0
26,1.0,1605491.78,0.0,87.16,2.627,211.5046621,7.787,31.0
27,1.0,1508237.76,0.0,87.0,2.692,211.6394211,7.787,32.0
28,1.0,1513080.49,0.0,86.65,2.664,211.6033633,7.787,33.0
29,1.0,1449142.92,0.0,85.22,2.619,211.5673056,7.787,34.0
30,1.0,1540163.53,0.0,81.21,2.577,211.5312479,7.787,35.0
31,1.0,1507460.69,1.0,78.69,2.565,211.4951902,7.787,36.0
32,1.0,1430378.67,0.0,82.11,2.582,211.5224596,7.787,37.0
33,1.0,1351791.03,0.0,80.94,2.624,211.5972246,7.787,38.0
34,1.0,1453329.5,0.0,71.89,2.603,211.6719895,7.838,39.0
35,1.0,1508239.93,0.0,63.93,2.633,211.7467544,7.838,40.0
36,1.0,1459409.1,0.0,67.18,2.72,211.8137436,7.838,41.0
37,1.0,1345454.0,0.0,69.86,2.725,211.8612937,7.838,42.0
38,1.0,1384209.22,0.0,69.64,2.716,211.9088438,7.838,43.0
39,1.0,1551659.28,0.0,58.74,2.689,211.9563939,7.838,44.0
40,1.0,1494479.49,0.0,59.61,2.728,212.003944,7.838,45.0
41,1.0,1483784.18,0.0,51.41,2.771,211.8896737,7.838,46.0
42,1.0,1955624.11,1.0,64.52,2.735,211.7484333,7.838,47.0
43,1.0,1548033.78,0.0,49.27,2.708,211.607193,7.838,48.0
44,1.0,1682614.26,0.0,46.33,2.843,211.4659526,7.838,49.0
45,1.0,1891034.93,0.0,49.84,2.869,211.4053124,7.838,50.0
46,1.0,2387950.2,0.0,52.33,2.886,211.4051222,7.838,51.0
47,1.0,1367320.01,1.0,48.43,2.943,211.4049321,7.838,52.0
48,1.0,1444732.28,0.0,48.27,2.976,211.4047419,7.742,1.0
49,1.0,1391013.96,0.0,35.4,2.983,211.4574109,7.742,2.0
